problem_name,count
How do igneous rocks form?,104
What does weathering do to rocks?,92
What process leads to the formation of igneous rocks?,88
How do you calculate the total number of atoms in a molecule with a coefficient?,84
What is the role of the brain in the Nervous System?,79
How many parents are involved in asexual reproduction?,77
Sexual reproduction requires _____ parents.,77
How are sedimentary rocks formed?,75
To whom does the subscript outside the parentheses apply?,74
What is the primary function of the nervous system?,73
What are electrons in the last shell called?,72
How is average speed calculated?,71
Explain the effect of balanced forces on an object's motion.,70
What affects the texture of igneous rocks?,70
"To calculate the total atoms in a molecule, multiply each atom by the _____.",69
Valence electrons have no impact on an atom's reactivity.,69
Define reactants in the context of a chemical equation.,68
The formation of a precipitate always indicates a physical change.,68
How do sedimentary rocks form?,67
What does a chemical symbol represent?,67
What happens when forces acting on an object are unbalanced?,67
What determines an object's motion?,66
"What classification applies to elements on the left side of the periodic table?s ""staircase"", excluding hydrogen?",65
What does precipitate formation signify?,64
What does the formation of a precipitate in a solution indicate?,64
What makes dissolving sugar in water a physical change?,64
"According to the Law of Conservation of Mass, how does the mass of reactants in a chemical reaction compare to the mass of the products?",63
Asexual reproduction allows for rapid _____ growth.,63
What determines the texture of igneous rocks?,63
"In a chemical reaction, the Law of Conservation of Mass states that the total mass of the reactants is different from the total mass of the products.",62
What does the stomach use to break down food?,62
"What is generally found on the left side of the ""staircase"" on the periodic table, with an exception?",62
How are compounds represented?,61
The Law of Conservation of Mass dictates that the mass of reactants and products in a chemical reaction must be _____.,61
What do unbalanced forces cause?,61
What effect do unbalanced forces have on an object?,61
"Elements generally found on the _____ side of the ""staircase"" on the periodic table are classified as metals, excluding hydrogen.",60
Metals are exclusively found on the right side of the periodic table's staircase.,60
What types of elements are primarily found along the 'staircase' on the periodic table?,60
Where do extrusive igneous rocks form?,60
Which of the following best indicates a chemical change?,60
Why is it significant that white blood cells have varying lifespans?,60
What does the Law of Conservation of Mass imply about the mass of reactants and products in a chemical reaction?,59
"All white blood cells have the same lifespan, contributing equally to immediate and long-term immunity.",58
How many parents are needed for sexual reproduction?,58
Igneous rocks are formed by the cooling and solidification of magma or lava.,58
The formation of a precipitate indicates a _____ change.,58
What determines the direction of an object's motion?,58
What is the main function of the kidneys?,58
'Energy levels' refer to the specific paths that individual electrons follow around the nucleus.,57
All color changes in substances are due to physical changes.,57
"Compared to protons, do electrons have a high or low mass?",57
In which direction does heat move to reach equilibrium?,57
The 'staircase' on the periodic table is exclusively made up of non-metals.,57
What term is used to describe the general areas outside the nucleus where electrons with similar energy are found?,56
Why is wind energy considered environmentally friendly?,56
How do metamorphic rocks form?,55
Most nutrient absorption occurs in the _____ intestine.,55
The term '_____ levels' is used to describe general areas outside the nucleus for electrons with similar energy.,55
Valence electrons determine an atom's ______ by influencing how it bonds with other atoms.,55
What happens to potential and kinetic energy as a roller coaster descends?,55
Which elements are primarily located along the 'staircase' on the periodic table?,55
Average speed is the total distance divided by the total _____.,54
"The elements found along the 'staircase' on the periodic table are primarily _____, which have properties between metals and non-metals.",54
What is the role of the yield sign in a chemical equation?,54
Where on a roller coaster is potential energy highest?,54
"White blood cells contribute to the body's defense by having varying _____, which supports both immediate and long-term responses to infections.",54
How do varying lifespans of white blood cells contribute to their function in the immune system?,53
What does the coefficient in front of a molecule formula indicate?,53
How does the mass of electrons compare to that of protons?,52
What does the formation of a precipitate indicate?,52
What is the net force when forces on an object are balanced?,52
A _____ change in a substance often indicates a chemical change.,51
"Compared to protons, electrons have a _____ mass.",51
Electrons have a higher mass than protons.,51
Name a key process in the formation of sedimentary rocks.,50
"To find the total number of atoms in a molecule, you can ignore the coefficient and simply count the atoms.",50
Where do intrusive igneous rocks form?,50
What distinguishes metamorphism from the process that forms igneous rocks?,49
What does emitting light during a reaction indicate?,48
Where are intrusive igneous rocks formed?,47
Does radiation require a medium to transfer heat?,46
How do valence electrons influence an atom's behavior?,46
Metamorphic rocks result from the transformation of existing rocks under extreme _____ and temperature.,46
The Excretory system produces _____ as a result of its filtration process.,46
The atomic mass on an element box indicates the _____ of the element.,46
What does compaction do in the formation of sedimentary rocks?,46
What effect do balanced forces have on an object's motion?,46
What effect does compaction have on sediment?,46
Which tectonic plate is the largest?,46
An object in motion under balanced forces moves at a constant _____.,45
How can time be calculated when speeds vary during the journey?,45
How do the circulatory and nervous systems work together?,45
"Metamorphic rocks are primarily found in flat, sediment-rich areas.",45
Mountain ranges form exclusively at divergent plate boundaries.,45
Non-metals are known for their shiny and reflective surfaces.,45
Plasma is the liquid component of blood that transports cells and nutrients.,45
The circulatory and nervous systems work together to ensure the brain receives sufficient _____ supply.,45
The mass of the reactants is always equal to the mass of the products in a balanced chemical equation.,45
What causes tectonic plates to move?,45
What causes the formation of metamorphic rocks?,45
What do 'energy levels' describe in an atom?,45
What information does a chemical formula provide?,45
What is the main function of veins in the cardiovascular system?,45
Where in an atom are neutrons found?,45
Balanced forces result in _____ change in an object's motion.,44
Extrusive igneous rocks are formed on the Earth's surface from cooled lava.,44
"For correct time calculation, the form of speed used must match the distance unit.",44
How does the lymphatic system aid the immune system?,44
Neutrons carry _____ electric charge.,44
What are the characteristics of forces?,44
What does the atomic number of an element represent?,44
Where does gas exchange occur within the cardiovascular system?,44
Where on a roller coaster is kinetic energy highest?,44
Which property of metals makes them suitable for use in high-temperature environments?,44
Why are non-metals described as dull?,44
Balanced forces always cause an object to move.,43
"Compared to electrons, protons have a _____.",43
Does metamorphism involve the original rock melting?,43
Erosion transports sediment to new locations.,43
Explain how a subscript outside the parentheses in a chemical formula affects the atoms inside.,43
Explain the relationship between time and speed when distance is constant.,43
Extrusive igneous rocks form on the Earth's _____ from lava.,43
How can you calculate the number of neutrons in an atom?,43
Nuclear power plants produce electricity without emitting _____ gases during operation.,43
Protons have a _____ mass compared to electrons.,43
Sedimentary rocks are often found in distinct _____ at the Earth's surface.,43
Sensory neurons are responsible for transmitting information from the body to the brain.,43
Sensory neurons detect external stimuli and send signals to the brain.,43
Speed must be in a form compatible with the _____ unit for accurate time calculation.,43
The heart is responsible for pumping blood throughout the body.,43
The nervous system's primary function is to pump blood throughout the body.,43
