anon_student_id,condition,Posttest,Practice,Pretest
23911,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23911,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23911,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23911,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23911,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),14,28,14
23911,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),6,12,6
23911,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),10,20,10
23911,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,20,10
23912,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23912,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,8,4
23912,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23912,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23912,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),8,16,8
23912,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,20,10
23912,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),8,16,8
23912,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),14,28,14
23913,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23913,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23913,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23913,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23913,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23913,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,16,8
23913,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23913,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,16,8
23914,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23914,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,8,4
23914,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23914,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23914,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),6,12,6
23914,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,24,12
23914,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),10,20,10
23914,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,24,12
23915,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23915,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23915,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23915,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,8,4
23915,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),8,16,8
23915,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,24,12
23915,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),8,16,8
23915,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,24,12
23916,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),4,6,4
23916,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,3,2
23916,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,3,2
23916,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,3,2
23916,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),8,8,8
23916,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,16,10
23916,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),16,28,16
23916,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),6,8,6
23917,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23917,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23917,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23917,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23917,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),10,20,10
23917,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,17,8
23917,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),14,28,14
23917,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,16,8
23918,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23918,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23918,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23918,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,8,4
23918,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),6,12,6
23918,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,24,12
23918,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),10,20,10
23918,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,24,12
23919,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23919,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23919,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23919,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23919,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23919,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,20,10
23919,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23919,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),6,12,6
23920,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,3,2
23920,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23920,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,3,2
23920,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,6,4
23920,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),8,16,8
23920,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,16,12
23920,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),8,8,8
23920,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,24,12
23921,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23921,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23921,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23921,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,8,4
23921,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),8,16,8
23921,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),16,32,16
23921,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),8,16,8
23921,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,16,8
23922,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23922,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23922,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23922,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23922,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23922,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,20,10
23922,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23922,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),6,12,6
23923,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23923,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23923,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23923,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23923,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),10,20,10
23923,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),6,12,6
23923,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),14,28,14
23923,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,20,10
23924,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23924,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23924,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23924,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23924,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),10,20,10
23924,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,16,8
23924,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),14,28,14
23924,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,16,8
23925,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23925,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,8,4
23925,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23925,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23925,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),9,16,8
23925,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,20,10
23925,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),8,16,8
23925,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),14,28,14
23926,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23926,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,8,4
23926,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23926,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23926,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),8,16,8
23926,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,16,8
23926,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),8,16,8
23926,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),16,32,16
23927,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23927,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23927,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23927,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,8,4
23927,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23927,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,24,12
23927,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23927,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,24,12
23928,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,3,2
23928,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,3,2
23928,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,3,2
23928,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,6,4
23928,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),10,16,10
23928,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,20,12
23928,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),6,8,6
23928,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),12,16,12
23929,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23929,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23929,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23929,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23929,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23929,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,20,10
23929,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23929,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),6,12,6
23930,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23930,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23930,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23930,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23930,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23930,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,16,8
23930,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23930,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,16,8
23931,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),4,6,4
23931,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,3,2
23931,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,3,2
23931,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,3,2
23931,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),12,20,12
23931,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,20,10
23931,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),12,16,12
23931,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),6,4,6
23932,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),4,8,4
23932,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23932,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23932,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23932,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23932,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,20,10
23932,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),12,24,12
23932,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),6,12,6
23933,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23933,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23933,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23933,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,8,4
